group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,reference_group,direction
siPRRX1/mmMYOD1_med_G1S,MARCHF1,2.6898656,2.4366927,0.007148080099730957,0.025729402198258054,0.07363420427553444,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,KLHL18,2.6895618,0.5033763,0.007154589146192924,0.02574914294837236,0.19477434679334918,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,CD40,2.689272,1.0183735,0.007160807289698895,0.025767831243814095,0.11163895486935867,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ZNF112,2.687698,1.2146701,0.007194647649462346,0.025882191286426603,0.10451306413301663,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,TTI1,2.6871593,0.98155487,0.007206257524612934,0.02592024607478869,0.1163895486935867,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,SNRPG,2.6868002,0.054275546,0.007214006780081071,0.025944405663357258,0.9809976247030879,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,SLC25A13,2.6867452,0.38606375,0.007215199636820683,0.02594498232312967,0.29572446555819476,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,VHL,2.6865933,0.45957774,0.007218480905690393,0.025953067419972557,0.26247030878859856,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ATP13A1,2.686165,0.86421365,0.007227735324594203,0.02598262278060131,0.1377672209026128,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,BCOR,2.6857371,0.5567962,0.007237000390138305,0.026012207953568206,0.19833729216152018,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,NUP210L,2.6847844,2.5162263,0.007257660907707625,0.02607900804931749,0.07363420427553444,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,KYNU,2.6839836,4.1500545,0.007275068648209501,0.026137821703203935,0.06294536817102138,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,RANBP3L,2.683238,6.1103897,0.007291309524928987,0.026192426839516163,0.060570071258907364,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,SGCB,2.6825337,0.19624172,0.007306677994469371,0.026243882882365115,0.6033254156769596,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,CAPN3,2.6819124,1.0429361,0.007320262538988212,0.02628891769039528,0.11401425178147269,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,BCDIN3D,2.6817882,1.1629711,0.00732298216557284,0.02629492652993917,0.10332541567695962,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,LINC01673,2.6806145,3.6949239,0.007348712273379667,0.026383546507427386,0.0665083135391924,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,BRCC3,2.6805592,0.40479928,0.007349925097731218,0.02638413112225572,0.2589073634204275,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,INTS8,2.6801174,0.60803485,0.007359634159001313,0.02641521027672975,0.17339667458432304,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,NNT,2.6796064,0.43401232,0.007370874602822191,0.026451776209613826,0.2494061757719715,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,PLCXD1,2.6792476,1.4364456,0.0073787825039852845,0.026476373948328177,0.09619952494061758,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,SUGCT-AS1,2.678074,2.7999108,0.007404688396723671,0.026565535413031468,0.07125890736342043,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,TMEM116,2.6778805,1.2148632,0.0074089630661065475,0.02657707693435051,0.1021377672209026,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,PLCXD2,2.676638,1.4892546,0.0074364959759869115,0.026656814676832973,0.09144893111638955,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ELAC1,2.6763341,0.7738342,0.007443240185277474,0.026677184335423244,0.14726840855106887,Control_G1S,up
